S(t),I(t),R(t),mortes,tempo(t)
400,50,0,0,0
390.0000,59.7159,0.2841,0.0057,0.5
378.3554,71.0212,0.6234,0.0125,1.0
364.9198,84.0533,1.0269,0.0205,1.5
349.5834,98.9121,1.5045,0.0301,2.0
332.2944,115.6391,2.0665,0.0413,2.5
313.0813,134.1952,2.7235,0.0545,3.0
292.0743,154.4397,3.4860,0.0697,3.5
269.5204,176.1161,4.3635,0.0873,4.0
245.7869,198.8489,5.3642,0.1073,4.5
221.3497,222.1563,6.4940,0.1299,5.0
196.7626,245.4812,7.7562,0.1551,5.5
172.6118,268.2372,9.1510,0.1830,6.0
149.4613,289.8636,10.6751,0.2135,6.5
127.7997,309.8783,12.3220,0.2464,7.0
107.9985,327.9188,14.0827,0.2817,7.5
90.2911,343.7630,15.9459,0.3189,8.0
74.7717,357.3291,17.8991,0.3580,8.5
61.4127,368.6579,19.9294,0.3986,9.0
50.0925,377.8834,22.0240,0.4405,9.5
40.6280,385.2009,24.1711,0.4834,10.0
32.8030,390.8372,26.3597,0.5272,10.5
26.3927,395.0269,28.5804,0.5716,11.0
21.1798,397.9954,30.8249,0.6165,11.5
16.9650,399.9488,33.0862,0.6617,12.0
13.5725,401.0689,35.3586,0.7072,12.5
10.8507,401.5119,37.6374,0.7527,13.0
8.6724,401.4089,39.9188,0.7984,13.5
6.9318,400.8687,42.1995,0.8440,14.0
5.5424,399.9804,44.4772,0.8895,14.5
4.4340,398.8163,46.7498,0.9350,15.0
3.5498,397.4344,49.0158,0.9803,15.5
2.8444,395.8817,51.2739,1.0255,16.0
2.2814,394.1954,53.5233,1.0705,16.5
1.8317,392.4053,55.7630,1.1153,17.0
1.4723,390.5351,57.9926,1.1599,17.5
1.1848,388.6036,60.2115,1.2042,18.0
0.9546,386.6259,62.4195,1.2484,18.5
0.7701,384.6137,64.6162,1.2923,19.0
0.6220,382.5765,66.8015,1.3360,19.5
0.5030,380.5217,68.9753,1.3795,20.0
0.4073,378.4554,71.1373,1.4227,20.5
0.3302,376.3821,73.2876,1.4658,21.0
0.2681,374.3058,75.4262,1.5085,21.5
0.2179,372.2292,77.5529,1.5511,22.0
0.1774,370.1548,79.6678,1.5934,22.5
0.1445,368.0845,81.7710,1.6354,23.0
0.1179,366.0197,83.8624,1.6772,23.5
0.0963,363.9616,85.9420,1.7188,24.0
0.0788,361.9112,88.0100,1.7602,24.5
0.0646,359.8691,90.0663,1.8013,25.0
0.0529,357.8361,92.1110,1.8422,25.5
0.0435,355.8124,94.1442,1.8829,26.0
0.0357,353.7985,96.1658,1.9233,26.5
0.0294,351.7946,98.1761,1.9635,27.0
0.0242,349.8009,100.1749,2.0035,27.5
0.0200,347.8176,102.1624,2.0432,28.0
0.0165,345.8449,104.1386,2.0828,28.5
0.0137,343.8827,106.1037,2.1221,29.0
0.0113,341.9312,108.0575,2.1612,29.5
0.0094,339.9903,110.0003,2.2000,30.0
0.0078,338.0602,111.9321,2.2386,30.5
0.0065,336.1407,113.8529,2.2771,31.0
0.0054,334.2318,115.7628,2.3153,31.5
0.0045,332.3337,117.6618,2.3532,32.0
0.0037,330.4462,119.5501,2.3910,32.5
0.0031,328.5693,121.4276,2.4286,33.0
0.0026,326.7029,123.2945,2.4659,33.5
0.0022,324.8471,125.1508,2.5030,34.0
0.0018,323.0017,126.9965,2.5399,34.5
0.0015,321.1668,128.8317,2.5766,35.0
0.0013,319.3422,130.6565,2.6131,35.5
0.0011,317.5280,132.4710,2.6494,36.0
0.0009,315.7240,134.2751,2.6855,36.5
0.0008,313.9303,136.0690,2.7214,37.0
0.0006,312.1467,137.8527,2.7571,37.5
0.0005,310.3733,139.6263,2.7925,38.0
0.0005,308.6099,141.3897,2.8278,38.5
0.0004,306.8565,143.1432,2.8629,39.0
0.0003,305.1130,144.8867,2.8977,39.5
